station,score
Bukit Batok,10
Maxwell,0
Aljunied,4
Joo Koon,13
Woodlands,14
Havelock,1
Gardens By The Bay,1
Teck Whye,16
Toa Payoh,6
Eunos,6
Keat Hong,15
Kallang,3
Yew Tee,13
Bukit Gombak,11
Sengkang,12
Kranji,14
Geylang Bahru,6
Ubi,8
Bencoolen,3
Newton,4
Yio Chu Kang,10
Tuas Crescent,15
Dakota,4
Potong Pasir,6
Bedok,8
Buangkok,11
Jalan Besar,4
City Hall,0
Great World,2
Phoenix,15
Tanjong Pagar,0
Tai Seng,7
Bartley,8
Gul Circle,14
Kembangan,7
Sixth Avenue,8
Upper Changi,13
Tuas West Road,16
Punggol,13
South View,14
Bukit Panjang,13
Cashew,12
Dhoby Ghaut,1
Lorong Chuan,10
Admiralty,15
Holland Village,7
Kent Ridge,4
Bedok North,10
Choa Chu Kang,12
Clementi,7
Telok Blangah,0
Rochor,2
Clarke Quay,2
Little India,3
Simei,10
Mayflower,10
Mattar,7
Expo,11
Commonwealth,4
Yishun,12
Paya Lebar,5
Bishan,8
Braddell,7
Queenstown,3
Tiong Bahru,1
Stadium,2
Bendemeer,5
Promenade,0
Beauty World,10
Nicoll Highway,1
Napier,5
Tampines,11
Lakeside,10
Orchard,3
Chinatown,1
Woodlands North,15
Khatib,11
Caldecott,7
Downtown,0
Serangoon,8
MacPherson,6
Springleaf,12
one-north,5
Bugis,1
Ang Mo Kio,9
King Albert Park,9
Redhill,2
Fort Canning,2
HarbourFront,1
Bedok Reservoir,11
Woodlands South,13
Tampines East,13
Pasir Ris,12
Bras Basah,1
Hillview,11
Farrer Park,4
Upper Thompson,8
Labrador Park,1
Esplanade,0
Tampines West,12
Tanah Merah,9
Mountbatten,3
Lavender,2
Somerset,2
Tuas Link,17
Farrer Road,8
Buona Vista,5
Novena,5
Lentor,11
Boon Lay,11
Sembawang,14
Chinese Garden,9
Pioneer,12
Orchard Boulevard,4
Kaki Bukit,9
Marymount,9
Outram Park,0
Bayfront,0
Raffles Place,0
Jurong East,8
Telok Ayer,0
Canberra,13
Hougang,10
Bright Hill,9
Marina Bay,0
Marsiling,15
Stevens,5
Boon Keng,5
Haw Par Villa,3
Marina South Pier,1
Botanic Gardens,6
Dover,6
Kovan,9
Changi Airport,12
Pasir Panjang,2
Harbourfront,0
Shenton Way,0
Woodleigh,7
Tan Kah Kee,7
